type,value,malicious,suspicious,undetected,harmless,reputation,last_analysis_date,http_status,error
file,00dd454af4ee062aecf81d422fcec72f6f2af12bbc816906045690e67cdf01a1,46.0,0.0,24.0,0.0,0.0,1684134247.0,200,
file,01a584f26eace00ff96f6511bab5bfee,59.0,0.0,14.0,0.0,0.0,1741976126.0,200,
file,04a5b5ecf057134a96ba9beac224c672,,,,,,,404,VT status 404
file,055cc4c30260884c910b383bb81cf7c8,58.0,0.0,14.0,0.0,-1.0,1752706911.0,200,
file,0762764e298c369a2de8afaec5174ed9,61.0,0.0,11.0,0.0,-70.0,1754467430.0,200,
file,0e36bcc07c3de7549feafeeb606d4a77dd435c71,51.0,0.0,19.0,0.0,-2.0,1750151994.0,200,
file,0f988e0bce8d310eb90e8c09bd6bdd765ce0d33519f0436494877f9925c3b235,38.0,0.0,27.0,0.0,0.0,1656312405.0,200,
file,1c6363248c917b9b2a0e37e547cb1bd5,37.0,0.0,35.0,0.0,0.0,1749233824.0,200,
file,3b2a0d2cb8993764a042e8e6a89cbbf8a29d47d1,55.0,0.0,15.0,0.0,0.0,1750249320.0,200,
file,3febf726ffb4f4a4186571d05359d2851e52d5612c5818b2b167160d367f722c,51.0,0.0,19.0,0.0,-2.0,1750151994.0,200,
file,41c4c3036bc1fdeb8d3be8e2903e83cc,,,,,,,404,VT status 404
file,4373fefdec70547cb513be8e908997033197dc86,58.0,0.0,14.0,0.0,-40.0,1754726262.0,200,
file,4fd61e498bb8c6e5df247450b7304c91,,,,,,,404,VT status 404
file,509c2115bfbb20e65a08286935cfac1305894ede,62.0,0.0,10.0,0.0,-118.0,1754863504.0,200,
file,54295c0679b4eecddc794b7f7210b1942347871c3e228fad22a341a30712de5c,59.0,0.0,14.0,0.0,0.0,1741976126.0,200,
file,57052ab0ae2d77543d993d8b2887987af4163a56a2bed4d678a4b4db1ac3d7f2,56.0,0.0,9.0,0.0,0.0,1655994216.0,200,
file,59e7f22d2c290336826700f05531bd30,55.0,0.0,15.0,0.0,0.0,1750249320.0,200,
file,5b9407df404506219bd672a33440783c5c214eefa7feb9923c6f9fded8183610,58.0,0.0,14.0,0.0,-40.0,1754726262.0,200,
file,6078dbad380775d01ce9cf91cbe23d7b,46.0,0.0,24.0,0.0,0.0,1684134247.0,200,
file,641d7e44b87e88608443d6423937d983,49.0,0.0,22.0,0.0,-44.0,1702551567.0,200,
file,65090399c998948c347a1e5c223461925e68178dd94c92e9de04597493197097,54.0,0.0,19.0,0.0,0.0,1742306967.0,200,
file,675fc8dd389190b8ba2fb7f9ba5631b790d7cb90,38.0,0.0,27.0,0.0,0.0,1656312405.0,200,
file,68d3bf2c363144ec6874ab360fdda00a,55.0,0.0,16.0,0.0,-4.0,1753204704.0,200,
file,69017682934fd66707f61c2c975ff7164e753f30,56.0,0.0,9.0,0.0,0.0,1655994216.0,200,
file,731bd8b6c368007aa8b1bcfffe07d920b1b827c2,,,,,,,404,VT status 404
file,790cfe1f9b1f7a1b8805f3c581aeb1c3,54.0,0.0,19.0,0.0,0.0,1742306967.0,200,
file,794a5621fda2106fcb94cbd91b6ab9567fb8383caa7f62febafcf701175f2b91,27.0,0.0,35.0,0.0,-7.0,1748605629.0,200,
file,7aeacfa3b007c417bdebdf90232b9ebb4faf76efc4853cc49e3c0a74654d80b1,,,,,,,404,VT status 404
file,7e9f57de4eaf2fa3535c1b4f0c5fa1f33b3dd2ac,49.0,0.0,22.0,0.0,-44.0,1702551567.0,200,
file,84a594fc02731009fdf444a3e4134b1b7a928626,59.0,0.0,14.0,0.0,0.0,1741976126.0,200,
file,893135fe8c1d0bd9a25e7d112990f4c5f6485288,27.0,0.0,35.0,0.0,-7.0,1748605629.0,200,
file,904e0855772f56721cc157641a26bb7963651e5a45c3bb90764328b17081abd5,49.0,0.0,22.0,0.0,-44.0,1702551567.0,200,
file,92e853dd359cb3636fa165a7170498d14ef7c692d8e6545b7adea95d89fe189f,58.0,0.0,14.0,0.0,-1.0,1752706911.0,200,
file,9e4763ddb6ac4377217c382cf6e61221efca0b0254074a3746ee03d3d421dabd,62.0,0.0,10.0,0.0,-118.0,1754863504.0,200,
file,9f9c2bdf45f6a9940555fd1f009701ac,41.0,0.0,27.0,0.0,-44.0,1652620575.0,200,
file,a3bf960f6d124d0b53608ddb0c65177d3717a22f,58.0,0.0,14.0,0.0,-1.0,1752706911.0,200,
file,a6cad2d0f8dc05246846d2a9618fc93b7d97681331d5826f8353e7c3a3206e86,61.0,0.0,11.0,0.0,-70.0,1754467430.0,200,
file,abd011278f60b350e932c6ed3e2ee16b3e0f45d616d04e5d2fba02a57d521080,,,,,,,404,VT status 404
file,b12f0933881af6f53b5ba01242acc35a,38.0,0.0,27.0,0.0,0.0,1656312405.0,200,
file,bcf121ba763f4a0c07113046e5103900,51.0,0.0,19.0,0.0,-2.0,1750151994.0,200,
file,bd5b31a61969f10bada83618b27af8f3edf1cfc4,41.0,0.0,27.0,0.0,-44.0,1652620575.0,200,
file,c720441cc3603483defcad7f2476c220,56.0,0.0,9.0,0.0,0.0,1655994216.0,200,
file,d0e158d8f0d1652441374283e6fe4f7bd8e8edb6,54.0,0.0,19.0,0.0,0.0,1742306967.0,200,
file,d0f70fb2d9001644ba65ae71a50f5ea5ce3e0e1b2dc47ea6f2cdf132536df54a,37.0,0.0,35.0,0.0,0.0,1749233824.0,200,
file,d5d924a5c390946bb55f820b8444e4d9dea1958c,46.0,0.0,24.0,0.0,0.0,1684134247.0,200,
file,da26fb84c103109da7b738d0c1b0612c,58.0,0.0,14.0,0.0,-40.0,1754726262.0,200,
file,e03a74a92211229c0c6f2886aaac4c2a,27.0,0.0,35.0,0.0,-7.0,1748605629.0,200,
file,e94d0ba20b42f26f32ed7463e9bd807753fae3cc,,,,,,,404,VT status 404
file,ec932d26a059a188af6320b8ca76ce6e609f4878,61.0,0.0,11.0,0.0,-70.0,1754467430.0,200,
file,ed2f501408a7a6e1a854c29c4b0bc5648a6aa8612432df829008931b3e34bf56,55.0,0.0,16.0,0.0,-4.0,1753204704.0,200,
file,efa0d4a79c4c971c680ef8020bb526b07a13061f4eb68ee6f5af9e42c6364bd8,41.0,0.0,27.0,0.0,-44.0,1652620575.0,200,
file,f317b6bafb5c6f4c3c9ffb967fd941b5,62.0,0.0,10.0,0.0,-118.0,1754863504.0,200,
file,f63e17ff2d3cfe75cf3bb9cf644a2a00e50aaffe45c1adf2de02d5bd0ae35b02,55.0,0.0,15.0,0.0,0.0,1750249320.0,200,
file,fa2f281fd4009100b2293e120997bfd7feb10c16,55.0,0.0,16.0,0.0,-4.0,1753204704.0,200,
file,fbb59ffa0f882cc2971d72b8556bfe3b9cce060c,37.0,0.0,35.0,0.0,0.0,1749233824.0,200,
url,http://23.183.81[.]113:80/a123123123,3.0,0.0,28.0,65.0,0.0,1737836718.0,200,
url,https://github,,,,,,,404,VT status 404
url,https://github.com/,0.0,0.0,25.0,72.0,288.0,1755186297.0,200,
url,https://github.com/AlessandroZ/,0.0,0.0,18.0,74.0,0.0,1714078081.0,200,
url,https://github.com/ParrotSec/mimikatz,0.0,1.0,27.0,69.0,0.0,1752576153.0,200,
url,https://github.com/bitsadmin/,0.0,1.0,16.0,73.0,0.0,1698638400.0,200,
url,https://github.com/djhohnstein/SharpWeb,0.0,0.0,17.0,73.0,0.0,1696560323.0,200,
url,https://github.com/klinix5/,1.0,0.0,25.0,71.0,0.0,1749219428.0,200,
url,https://github.com/klinix5/InstallerFileTakeOver,0.0,0.0,25.0,72.0,0.0,1752178822.0,200,
url,https://github.com/rsmudge/ZeroLogon-BOF,0.0,0.0,9.0,80.0,0.0,1628267407.0,200,
url,https://torproject.org,0.0,0.0,27.0,70.0,71.0,1753139435.0,200,
domain,github.com,0.0,0.0,28.0,66.0,108.0,1755181968.0,200,
domain,group-ib.com,0.0,0.0,30.0,64.0,0.0,1755183939.0,200,
domain,invoke-smbautobrute.ps,0.0,0.0,34.0,60.0,0.0,1752770326.0,200,
domain,rocket.chat,0.0,0.0,30.0,64.0,0.0,1755151467.0,200,
domain,svvtc.com,9.0,0.0,30.0,55.0,0.0,1752831185.0,200,
domain,torproject.org,0.0,0.0,30.0,64.0,57.0,1755175179.0,200,
ip,127.0.0.1,0.0,0.0,32.0,62.0,96.0,1755187727.0,200,
ip,21.9.2.172,0.0,0.0,34.0,60.0,0.0,1754718374.0,200,
